Nazwa,Adres,Adres do mapy,Typ kuchni,Dzielnica,Ceny,Ocena,Opinii,Opis,Godziny,Pieszo Rama9,Pieszo Sukh101,Link
NaDo Charcoal BBQ,"212/8 Sukhumvit 12, Khwaeng Khlong Toei, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand","212/8 Sukhumvit 12, Khwaeng Khlong Toei, Khet Khlong Toei, Krung Thep Maha Nakhon 10110, Thailand",Koreańska,Sukhumvit,,4.5,11,"NaDo Charcoal BBQ w Bangkoku to miejsce słynące z wyśmienitego bulgogi, ribeye oraz boczku, podawanych z szeroką gamą darmowych przystawek. Restauracja wyróżnia się pomocną obsługą, która samodzielnie grilluje i porcjuje mięso dla gości, a także przystępnymi cenami i dostępnością do późnych godzin nocnych. To sprawdzony wybór na autentyczną koreańską kolację, choć według opinii warto unikać twardszego antrykotu (strip loin) oraz zup.",Pon: 9:00 AM – 5:00 AM | Wt: 9:00 AM – 5:00 AM | Śr: 9:00 AM – 5:00 AM | Czw: 9:00 AM – 5:00 AM | Pt: 9:00 AM – 5:00 AM | Sob: 9:00 AM – 5:00 AM | Ndz: 9:00 AM – 5:00 AM,2.9,8.0,https://www.google.com/maps/search/?api=1&query=212%2F8+Sukhumvit+12%2C+Khwaeng+Khlong+Toei%2C+Khet+Khlong+Toei%2C+Krung+Thep+Maha+Nakhon+10110%2C+Thailand&query_place_id=ChIJAcNvM5uf4jARa8Hq78bAYDA
Central Rama9,"9/9 Rama IX Rd, Khwaeng Huai Khwang, Khet Huai Khwang, Krung Thep Maha Nakhon 10310, Thailand","9/9 Rama IX Rd, Khwaeng Huai Khwang, Khet Huai Khwang, Krung Thep Maha Nakhon 10310, Thailand",Międzynarodowa,Huai Khwang,,4.5,29538,"Central Rama 9 to przestronne centrum handlowe o lokalnym charakterze, które wyróżnia się ogromną sekcją dla dzieci oraz imponującym działem z książkami i artykułami papierniczymi. Warto odwiedzić dolny poziom z autentycznym marketem street food lub liczne restauracje na wyższych piętrach, serwujące głównie dania kuchni tajskiej, koreańskiej i japońskiej. To nowoczesne miejsce oferuje szeroki wybór sklepów na każdą kieszeń, zapewniając kompleksową ofertę zakupową i rozrywkową w klimatyzowanych wnętrzach.",Pon: 10:00 AM – 10:00 PM | Wt: 10:00 AM – 10:00 PM | Śr: 10:00 AM – 10:00 PM | Czw: 10:00 AM – 10:00 PM | Pt: 10:00 AM – 10:00 PM | Sob: 10:00 AM – 10:00 PM | Ndz: 10:00 AM – 10:00 PM,0.6,10.2,https://www.google.com/maps/search/?api=1&query=9%2F9+Rama+IX+Rd%2C+Khwaeng+Huai+Khwang%2C+Khet+Huai+Khwang%2C+Krung+Thep+Maha+Nakhon+10310%2C+Thailand&query_place_id=ChIJt4AYHY2e4jARP0jJFXncXCE
Bangkok International Trade & Exhibition Centre: BITEC,"88 Debaratna Rd, Khwaeng Bang Na, Khet Bang Na, Krung Thep Maha Nakhon 10260, Thailand","88 Debaratna Rd, Khwaeng Bang Na, Khet Bang Na, Krung Thep Maha Nakhon 10260, Thailand",Międzynarodowa,Bang Na,,4.4,17518,"BITEC to nowoczesne i doskonale zorganizowane centrum wystawiennicze, które wyróżnia się ogromną przestrzenią oraz świetną lokalizacją z bezpośrednim dostępem do stacji kolei BTS. Na miejscu warto skorzystać z bogatej oferty gastronomicznej z daniami halal w przystępnych cenach oraz udogodnień takich jak pokoje modlitwy na poziomie B1 i przestronny parking. Obiekt jest ceniony za sprawną logistykę oraz profesjonalną obsługę, co czyni go idealnym miejscem na międzynarodowe targi i konferencje.",Pon: 8:00 AM – 5:00 PM | Wt: 8:00 AM – 5:00 PM | Śr: 8:00 AM – 5:00 PM | Czw: 8:00 AM – 5:00 PM | Pt: 8:00 AM – 5:00 PM | Sob: 8:00 AM – 5:00 PM | Ndz: 8:00 AM – 5:00 PM,13.0,3.1,https://www.google.com/maps/search/?api=1&query=88+Debaratna+Rd%2C+Khwaeng+Bang+Na%2C+Khet+Bang+Na%2C+Krung+Thep+Maha+Nakhon+10260%2C+Thailand&query_place_id=ChIJk0zNFA6g4jARsbLb7XdhZfo
cholasbkk,"629 Soi Phetchaburi 31, Khwaeng Makkasan, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand","629 Soi Phetchaburi 31, Khwaeng Makkasan, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand",Międzynarodowa,Ratchathewi,,4.9,7192,"Cholasbkk to idealne miejsce dla miłośników autentycznej kuchni indyjskiej, oferujące zarówno dania z karty, jak i bogaty bufet w czystej i przyjaznej atmosferze. Warto spróbować aromatycznego Chicken Kadhai, świeżo wypiekanych chlebków Roti oraz Dosy w wersji Plain lub Masala. Restauracja wyróżnia się wyjątkowo pomocną obsługą oraz smakiem potraw, które doskonale oddają klimat domowych posiłków z Indii.",Pon: 10:00 AM – 11:30 PM | Wt: 10:00 AM – 11:30 PM | Śr: 10:00 AM – 11:30 PM | Czw: 10:00 AM – 11:30 PM | Pt: 10:00 AM – 11:30 PM | Sob: 10:00 AM – 11:30 PM | Ndz: 10:00 AM – 11:30 PM,3.1,10.7,https://www.google.com/maps/search/?api=1&query=629+Soi+Phetchaburi+31%2C+Khwaeng+Makkasan%2C+Khet+Ratchathewi%2C+Krung+Thep+Maha+Nakhon+10400%2C+Thailand&query_place_id=ChIJ1WAuo9-f4jAR02XwOBBNXDA
Grand Mercure Bangkok Atrium,"1880 New Petchaburi Rd, Bangkapi, Khet Huai Khwang, Krung Thep Maha Nakhon 10310, Thailand","1880 New Petchaburi Rd, Bangkapi, Khet Huai Khwang, Krung Thep Maha Nakhon 10310, Thailand",Międzynarodowa,Huai Khwang,,4.3,7044,"High-end lodging offering a Japanese restaurant & a coffee shop, plus an outdoor pool & a sauna.",,1.3,8.7,https://www.google.com/maps/search/?api=1&query=1880+New+Petchaburi+Rd%2C+Bangkapi%2C+Khet+Huai+Khwang%2C+Krung+Thep+Maha+Nakhon+10310%2C+Thailand&query_place_id=ChIJlX1_Jfee4jARxq7eqdDLgPU
Nathong Terrace Bar and Restaurant,"569/1 Pracha Uthit Rd, Khwaeng Samsen Nok, Khet Huai Khwang, Krung Thep Maha Nakhon 10310, Thailand","569/1 Pracha Uthit Rd, Khwaeng Samsen Nok, Khet Huai Khwang, Krung Thep Maha Nakhon 10310, Thailand",Międzynarodowa,Huai Khwang,$$$,4.3,5901,Breezy restaurant serving regional fare in a spacious environment with multiple terraces & a bar.,Pon: 11:00 AM – 11:30 PM | Wt: 11:00 AM – 11:30 PM | Śr: 11:00 AM – 11:30 PM | Czw: 11:00 AM – 11:30 PM | Pt: 11:00 AM – 11:30 PM | Sob: 11:00 AM – 11:30 PM | Ndz: 11:00 AM – 11:30 PM,3.5,11.8,https://www.google.com/maps/search/?api=1&query=569%2F1+Pracha+Uthit+Rd%2C+Khwaeng+Samsen+Nok%2C+Khet+Huai+Khwang%2C+Krung+Thep+Maha+Nakhon+10310%2C+Thailand&query_place_id=ChIJgW9SDnqe4jARBtGxRjkHnAI
Abandoned Mansion,"41 Soi Sukhumvit 14, Klongtoey, Krung Thep Maha Nakhon 10110, Thailand","41 Soi Sukhumvit 14, Klongtoey, Krung Thep Maha Nakhon 10110, Thailand",Międzynarodowa,Sukhumvit,$$$$,4.8,5739,"Abandoned Mansion to stylowy bar w klimacie „gangsterskiego Gatsby'ego”, który wyróżnia się fenomenalną muzyką na żywo oraz interaktywnymi występami wokalistów i saksofonistów. Warto zamówić kunsztownie podane drinki tematyczne w efektownym szkle oraz pyszne dania, które idealnie dopełniają elegancką i tajemniczą atmosferę lokalu. Ze względu na dużą popularność miejsca, na wieczorną wizytę zdecydowanie zaleca się wcześniejszą rezerwację stolika.",Pon: 5:00 PM – 2:00 AM | Wt: 5:00 PM – 2:00 AM | Śr: 5:00 PM – 2:00 AM | Czw: 5:00 PM – 2:00 AM | Pt: 5:00 PM – 2:00 AM | Sob: 5:00 PM – 2:00 AM | Ndz: 5:00 PM – 2:00 AM,2.9,7.9,https://www.google.com/maps/search/?api=1&query=41+Soi+Sukhumvit+14%2C+Klongtoey%2C+Krung+Thep+Maha+Nakhon+10110%2C+Thailand&query_place_id=ChIJ82hpAWaf4jARIPIc3KEAPtw
Centara Watergate Pavilion Hotel Bangkok,"567 Ratchaprarop Rd, Khwaeng Makkasan, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand","567 Ratchaprarop Rd, Khwaeng Makkasan, Khet Ratchathewi, Krung Thep Maha Nakhon 10400, Thailand",Międzynarodowa,Ratchathewi,,4.4,4182,"Sleek hotel offering a fitness center, a spa & refined dining, plus a chic rooftop bar with DJs.",Pon: Open 24 hours | Wt: Open 24 hours | Śr: Open 24 hours | Czw: Open 24 hours | Pt: Open 24 hours | Sob: Open 24 hours | Ndz: Open 24 hours,3.7,10.9,https://www.google.com/maps/search/?api=1&query=567+Ratchaprarop+Rd%2C+Khwaeng+Makkasan%2C+Khet+Ratchathewi%2C+Krung+Thep+Maha+Nakhon+10400%2C+Thailand&query_place_id=ChIJP83yBsae4jARWiFRw2oJrJo
Ibrahim Restaurant,"8/9 Shukmvit Sol 3/1, นานาเหนือ - สะพานวิทยุ Kwang Khlongtoey Nua, เขตวัฒนา กรุงเทพมหานคร 10110, Thailand","8/9 Shukmvit Sol 3/1, นานาเหนือ - สะพานวิทยุ Kwang Khlongtoey Nua, เขตวัฒนา กรุงเทพมหานคร 10110, Thailand",Międzynarodowa,,,4.8,3570,"Ibrahim Restaurant to idealne miejsce na autentyczną kuchnię pakistańską w Bangkoku, słynące z wyśmienitego mutton shinwari karahi o gęstym sosie, wyrazistej okry oraz potrawy Haleen. Goście chwalą ogromne porcje wystarczające dla dwóch osób, świeżo wypiekane chlebki naan oraz wyjątkowo przyjazną i pomocną obsługę. Na koniec posiłku warto spróbować tradycyjnej halwy oraz fantastycznej herbaty, które dopełniają bogate menu w przystępnych cenach.",Pon: Open 24 hours | Wt: Open 24 hours | Śr: Open 24 hours | Czw: Open 24 hours | Pt: Open 24 hours | Sob: Open 24 hours | Ndz: Open 24 hours,2.9,8.9,https://www.google.com/maps/search/?api=1&query=8%2F9+Shukmvit+Sol+3%2F1%2C+%E0%B8%99%E0%B8%B2%E0%B8%99%E0%B8%B2%E0%B9%80%E0%B8%AB%E0%B8%99%E0%B8%B7%E0%B8%AD+-+%E0%B8%AA%E0%B8%B0%E0%B8%9E%E0%B8%B2%E0%B8%99%E0%B8%A7%E0%B8%B4%E0%B8%97%E0%B8%A2%E0%B8%B8+Kwang+Khlongtoey+Nua%2C+%E0%B9%80%E0%B8%82%E0%B8%95%E0%B8%A7%E0%B8%B1%E0%B8%92%E0%B8%99%E0%B8%B2+%E0%B8%81%E0%B8%A3%E0%B8%B8%E0%B8%87%E0%B9%80%E0%B8%97%E0%B8%9E%E0%B8%A1%E0%B8%AB%E0%B8%B2%E0%B8%99%E0%B8%84%E0%B8%A3+10110%2C+Thailand&query_place_id=ChIJQWC3wQOf4jARZqwVasHw6l8
Avani Ratchada Bangkok Hotel,"1 Thanon Ratchadaphisek, ดินแดง Khet Din Daeng, Krung Thep Maha Nakhon 10400, Thailand","1 Thanon Ratchadaphisek, ดินแดง Khet Din Daeng, Krung Thep Maha Nakhon 10400, Thailand",Międzynarodowa,Din Daeng,,4.4,3467,"High-rise hotel offering rooms with city views, along with 3 restaurants, a bar & an outdoor pool.",Pon: Open 24 hours | Wt: Open 24 hours | Śr: Open 24 hours | Czw: Open 24 hours | Pt: Open 24 hours | Sob: Open 24 hours | Ndz: Open 24 hours,0.6,10.1,https://www.google.com/maps/search/?api=1&query=1+Thanon+Ratchadaphisek%2C+%E0%B8%94%E0%B8%B4%E0%B8%99%E0%B9%81%E0%B8%94%E0%B8%87+Khet+Din+Daeng%2C+Krung+Thep+Maha+Nakhon+10400%2C+Thailand&query_place_id=ChIJo11aE42e4jARiF7iYE6lttU
Krua Khun Puk,"155 Soi Sukhumvit 11/1, Khwaeng Khlong Toei Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand","155 Soi Sukhumvit 11/1, Khwaeng Khlong Toei Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",Międzynarodowa,Sukhumvit,$$,4.3,3448,"Krua Khun Puk to popularna restauracja przy stacji BTS Nana, słynąca z autentycznych i wyrazistych smaków w bardzo przystępnych cenach. Warto zamówić tu zupę curry Khao Soi, makaron z duszoną wieprzowiną lub aromatyczny Pad Thai, a na deser obowiązkowo Mango Sticky Rice. Miejsce wyróżnia się tradycyjnym klimatem i szybką obsługą, jednak ze względu na dużą popularność wieczorami należy przygotować się na oczekiwanie w kolejce.",Pon: 8:00 AM – 4:00 AM | Wt: 8:00 AM – 4:00 AM | Śr: 8:00 AM – 4:00 AM | Czw: 8:00 AM – 4:00 AM | Pt: 8:00 AM – 4:00 AM | Sob: 8:00 AM – 4:00 AM | Ndz: 8:00 AM – 4:00 AM,3.0,8.2,https://www.google.com/maps/search/?api=1&query=155+Soi+Sukhumvit+11%2F1%2C+Khwaeng+Khlong+Toei+Nuea%2C+Watthana%2C+Krung+Thep+Maha+Nakhon+10110%2C+Thailand&query_place_id=ChIJL07Xy3qf4jARvpYysWYr6aU
Indulge Restaurant & Cocktail Bar,"403-403/1, 407 407/1 Sukhumvit Rd, Khwaeng Khlong Toei Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand","403-403/1, 407 407/1 Sukhumvit Rd, Khwaeng Khlong Toei Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",Międzynarodowa,Sukhumvit,$$$$,4.7,3407,"Indulge Restaurant & Cocktail Bar wyróżnia się wyjątkowo przyjazną obsługą oraz bogatym menu, w którym królują aromatyczna gicz jagnięca Massaman, kaczka z ananasem i dopracowane koktajle rzemieślnicze. Goście chwalą to miejsce za przytulną atmosferę, wysoką jakość składników oraz mięso, które z łatwością odchodzi od kości, a wszystko to w bardzo rozsądnych cenach.",Pon: 7:30 AM – 1:00 AM | Wt: 7:30 AM – 1:00 AM | Śr: 7:30 AM – 1:00 AM | Czw: 7:30 AM – 1:00 AM | Pt: 7:30 AM – 1:00 AM | Sob: 7:30 AM – 1:00 AM | Ndz: 7:30 AM – 1:00 AM,2.7,7.5,https://www.google.com/maps/search/?api=1&query=403-403%2F1%2C+407+407%2F1+Sukhumvit+Rd%2C+Khwaeng+Khlong+Toei+Nuea%2C+Watthana%2C+Krung+Thep+Maha+Nakhon+10110%2C+Thailand&query_place_id=ChIJvcw2HuOe4jARNkjje3ATS18
Beer Republic,"971 Thanon Phloen Chit, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand","971 Thanon Phloen Chit, Khwaeng Lumphini, Pathum Wan, Krung Thep Maha Nakhon 10330, Thailand",Międzynarodowa,Pathum Wan,$$$,4.4,3096,"Beer Republic to klimatyczne miejsce tuż przy stacji BTS Chit Lom, które słynie z doskonałej obsługi, muzyki na żywo oraz szerokiego wyboru piw, w tym unikalnego BeerLao Dark. Goście szczególnie polecają zamówienie żeberek wieprzowych (Pork Ribs), a klimatyzowane wnętrze stanowi idealną ucieczkę od upałów Bangkoku. Jeśli planujesz rozmowę, wybierz stolik na zewnątrz, ponieważ w środku bywa dość głośno.",Pon: 11:30 AM – 12:00 AM | Wt: 11:30 AM – 12:00 AM | Śr: 11:30 AM – 12:00 AM | Czw: 11:30 AM – 12:00 AM | Pt: 11:30 AM – 12:00 AM | Sob: 11:30 AM – 12:00 AM | Ndz: 11:30 AM – 12:00 AM,4.0,10.1,https://www.google.com/maps/search/?api=1&query=971+Thanon+Phloen+Chit%2C+Khwaeng+Lumphini%2C+Pathum+Wan%2C+Krung+Thep+Maha+Nakhon+10330%2C+Thailand&query_place_id=ChIJv2x8vNqe4jARKdDcipzhA-Y
The Local,"32 32/1 Soi Sukhumvit 23, Khwaeng Khlong Toei Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand","32 32/1 Soi Sukhumvit 23, Khwaeng Khlong Toei Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",Międzynarodowa,Sukhumvit,$$$$,4.4,3075,"The Local to elegancka restauracja wyróżniona w przewodniku Michelin, serwująca autentyczne dania oparte na tradycyjnych, regionalnych recepturach w klimatycznym budynku kolonialnym lub nowoczesnym skrzydle. Goście szczególnie polecają sałatkę Bai Cha Kraan, pikantną rybę według „przepisu mamy” oraz delikatne policzki wołowe w sosie curry massaman z nielimitowanym białym lub czarnym ryżem. Miejsce wyróżnia się szybką obsługą oraz głębią smaków, dzięki czemu idealnie nadaje się zarówno na randkę, jak i spotkanie biznesowe.",Pon: 11:30 AM – 10:30 PM | Wt: 11:30 AM – 10:30 PM | Śr: 11:30 AM – 10:30 PM | Czw: 11:30 AM – 10:30 PM | Pt: 11:30 AM – 10:30 PM | Sob: 11:30 AM – 10:00 PM | Ndz: 11:30 AM – 10:30 PM,2.3,7.9,https://www.google.com/maps/search/?api=1&query=32+32%2F1+Soi+Sukhumvit+23%2C+Khwaeng+Khlong+Toei+Nuea%2C+Watthana%2C+Krung+Thep+Maha+Nakhon+10110%2C+Thailand&query_place_id=ChIJc881Nfue4jARsIcIs9ZqPJE
Charcoal Tandoor Grill & Mixology (Halal),"Fraser Suites Sukhumvit, 38/8 Sukhumvit Rd. Soi 11 5th Floor Khlong Toey Nua 8 Soi Sukhumvit 11, Khwaeng Khlong Toei Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand","Fraser Suites Sukhumvit, 38/8 Sukhumvit Rd. Soi 11 5th Floor Khlong Toey Nua 8 Soi Sukhumvit 11, Khwaeng Khlong Toei Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",Międzynarodowa,Sukhumvit,$$$$,4.6,3060,"Airy, contemporary eatery serving kebabs & Indian tandoor plates, plus cocktails & wine.","Pon: 12:00 – 3:00 PM, 6:00 PM – 12:00 AM | Wt: 12:00 – 3:00 PM, 6:00 PM – 12:00 AM | Śr: 12:00 – 3:00 PM, 6:00 PM – 12:00 AM | Czw: 12:00 – 3:00 PM, 6:00 PM – 12:00 AM | Pt: 12:00 – 3:00 PM, 6:00 PM – 12:00 AM | Sob: 12:00 – 3:00 PM, 6:00 PM – 12:00 AM | Ndz: 12:00 – 3:00 PM, 6:00 PM – 12:00 AM",2.6,8.9,https://www.google.com/maps/search/?api=1&query=Fraser+Suites+Sukhumvit%2C+38%2F8+Sukhumvit+Rd.+Soi+11+5th+Floor+Khlong+Toey+Nua+8+Soi+Sukhumvit+11%2C+Khwaeng+Khlong+Toei+Nuea%2C+Watthana%2C+Krung+Thep+Maha+Nakhon+10110%2C+Thailand&query_place_id=ChIJF5sgmOie4jARuK5mxG9Q_CY
Baan Kuay Tiew Ruathong,"1/7 Thanon Ratchawithi, Khwaeng Samsen Nai, Khet Phaya Thai, Krung Thep Maha Nakhon 10400, Thailand","1/7 Thanon Ratchawithi, Khwaeng Samsen Nai, Khet Phaya Thai, Krung Thep Maha Nakhon 10400, Thailand",Międzynarodowa,Phaya Thai,$$,4.4,2944,"Baan Kuay Tiew Ruathong słynie z aromatycznych „boat noodles” serwowanych w małych, niedrogich porcjach, co pozwala na spróbowanie wielu wariantów smakowych podczas jednej wizyty. Warto zamówić przede wszystkim pikantną zupę z wołowiną oraz chrupiące skórki wieprzowe, a posiłek zwieńczyć tradycyjnym kremem kokosowym. Miejsce wyróżnia się autentycznością i dużą popularnością wśród lokalnych mieszkańców, co przyciąga tłumy mimo konieczności krótkiego oczekiwania w kolejce.",Pon: Closed | Wt: 9:00 AM – 8:30 PM | Śr: 9:00 AM – 8:30 PM | Czw: 9:00 AM – 8:30 PM | Pt: 9:00 AM – 8:30 PM | Sob: 9:00 AM – 8:30 PM | Ndz: 9:00 AM – 8:30 PM,3.7,12.6,https://www.google.com/maps/search/?api=1&query=1%2F7+Thanon+Ratchawithi%2C+Khwaeng+Samsen+Nai%2C+Khet+Phaya+Thai%2C+Krung+Thep+Maha+Nakhon+10400%2C+Thailand&query_place_id=ChIJ46MaYLCe4jARYgKxjbDAMYw
TUBA Bar & Restaurant,"34 ซ. เอกมัย 21 Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand","34 ซ. เอกมัย 21 Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",Międzynarodowa,Watthana,$$$,4.7,2920,"TUBA Bar & Restaurant to miejsce o niezwykłym klimacie i muzyce na żywo, które oferuje szeroki wybór dań kuchni tajskiej oraz zachodniej, w tym pizzę, carbonarę i potrawy ze świeżym krabem. Lokal wyróżnia się wieloma opcjami bez wieprzowiny, przystępnymi cenami oraz imponującą kartą drinków, z której warto zamówić słynne Mojito serwowane w gigantycznym kieliszku lub skorzystać z oferty happy hour. To idealny punkt na mapie Bangkoku na relaks z przyjaciółmi lub rodzinny obiad połączony z warsztatami dla dzieci.",Pon: 9:30 AM – 2:00 AM | Wt: 9:30 AM – 2:00 AM | Śr: 9:30 AM – 2:00 AM | Czw: 9:30 AM – 2:00 AM | Pt: 9:30 AM – 2:00 AM | Sob: 9:30 AM – 2:00 AM | Ndz: 9:30 AM – 2:00 AM,4.0,7.2,https://www.google.com/maps/search/?api=1&query=34+%E0%B8%8B.+%E0%B9%80%E0%B8%AD%E0%B8%81%E0%B8%A1%E0%B8%B1%E0%B8%A2+21+Khwaeng+Khlong+Tan+Nuea%2C+Watthana%2C+Krung+Thep+Maha+Nakhon+10110%2C+Thailand&query_place_id=ChIJJyqGlK-f4jARNBb_DKd3nV4
Margarita Storm,"2 Sukhumvit Rd, Khwaeng Khlong Toei Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand","2 Sukhumvit Rd, Khwaeng Khlong Toei Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",Międzynarodowa,Sukhumvit,$$$,4.4,2826,"Margarita Storm to idealne miejsce na obserwowanie tętniącej życiem ulicy z tarasu, słynące z mocnych margaryt oraz polecanych przez gości quesadillas, tacos i guacamole. Lokal wyróżnia się bardzo przyjazną obsługą, transmisjami sportowymi oraz dostępnym na piętrze stołem do bilarda i unikalnym menu fantazyjnych drinków.",Pon: Open 24 hours | Wt: Open 24 hours | Śr: Open 24 hours | Czw: Open 24 hours | Pt: Open 24 hours | Sob: Open 24 hours | Ndz: Open 24 hours,2.9,8.1,https://www.google.com/maps/search/?api=1&query=2+Sukhumvit+Rd%2C+Khwaeng+Khlong+Toei+Nuea%2C+Watthana%2C+Krung+Thep+Maha+Nakhon+10110%2C+Thailand&query_place_id=ChIJKdBfrOae4jARLVUglrIJNwA
Sri Trat Restaurant and Bar,"90 Soi Sukhumvit 33, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand","90 Soi Sukhumvit 33, Khwaeng Khlong Tan Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",Międzynarodowa,Sukhumvit,,4.5,2354,"Sri Trat to elegancka restauracja w stylu vintage, która serwuje autentyczne, wyraziste dania kuchni wschodniej Tajlandii, przygotowywane według tradycyjnych receptur. Warto spróbować tu aromatycznego czerwonego curry z boczkiem, omletu z krabem lub zupy tom yum z krewetkami, które idealnie łączą smaki ostre, kwaśne i słone. Miejsce wyróżnia się obecnością rzadko spotykanych w innych lokalach potraw oraz przyjazną obsługą, a ze względu na dużą popularność lokalu zaleca się wcześniejszą rezerwację stolika.",Pon: 11:00 AM – 11:00 PM | Wt: 11:00 AM – 11:00 PM | Śr: 11:00 AM – 11:00 PM | Czw: 11:00 AM – 11:00 PM | Pt: 11:00 AM – 11:00 PM | Sob: 11:00 AM – 11:00 PM | Ndz: 11:00 AM – 11:00 PM,2.9,7.3,https://www.google.com/maps/search/?api=1&query=90+Soi+Sukhumvit+33%2C+Khwaeng+Khlong+Tan+Nuea%2C+Watthana%2C+Krung+Thep+Maha+Nakhon+10110%2C+Thailand&query_place_id=ChIJoc-7O_ye4jARa2GblY_w4Bo
The Sportsman Sports Bar and Restaurant,"10 22 Soi Sukhumvit 13, Khwaeng Khlong Toei Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand","10 22 Soi Sukhumvit 13, Khwaeng Khlong Toei Nuea, Watthana, Krung Thep Maha Nakhon 10110, Thailand",Międzynarodowa,Sukhumvit,$$$,4.4,2354,"The Sportsman to przestronny, dwupiętrowy bar sportowy z licznymi ekranami i bogatym zapleczem rozrywkowym, obejmującym stoły do bilarda, darta oraz shuffleboarda. Miejsce wyróżnia się transmisjami wydarzeń na żywo (np. F1 czy NFL) już od 7:00 rano, a w menu warto postawić na klasyczne śniadanie angielskie, wieżę piwa Asahi oraz przekąski, takie jak nachosy z jalapeño czy chrupiące krążki cebulowe. Dodatkowym atutem jest możliwość rezerwacji miejsc przed popularnymi meczami oraz miła i pomocna obsługa.",Pon: 7:00 AM – 2:00 AM | Wt: 7:00 AM – 2:00 AM | Śr: 7:00 AM – 2:00 AM | Czw: 7:00 AM – 2:00 AM | Pt: 7:00 AM – 2:30 AM | Sob: 7:00 AM – 2:30 AM | Ndz: 7:00 AM – 2:00 AM,2.8,8.3,https://www.google.com/maps/search/?api=1&query=10+22+Soi+Sukhumvit+13%2C+Khwaeng+Khlong+Toei+Nuea%2C+Watthana%2C+Krung+Thep+Maha+Nakhon+10110%2C+Thailand&query_place_id=ChIJw6FWZOOe4jARGo7ya9vZ0qs
Cappadocia Turkish Restaurant Bangkok,"33, 7 Soi Sukhumvit 11, Khlong Toei, Watthana, Krung Thep Maha Nakhon 10110, Thailand","33, 7 Soi Sukhumvit 11, Khlong Toei, Watthana, Krung Thep Maha Nakhon 10110, Thailand",Międzynarodowa,Sukhumvit,,4.9,2327,"Restauracja Cappadocia w Bangkoku słynie z wybitnej obsługi oraz autentycznych dań, takich jak doskonały lahmacun, sycący hummus czy aromatyczne kebaby adana i iskender. Goście szczególnie chwalą duże porcje oraz darmowe przystawki na powitanie (amuse-bouche), podkreślając wysoką jakość potraw porównywalną do najlepszych lokali w Turcji czy Berlinie. Mimo lokalizacji wewnątrz budynku, miejsce urzeka gościnną atmosferą i oferuje wygodny parking bezpośrednio przed wejściem.",Pon: 10:00 AM – 2:00 AM | Wt: 10:00 AM – 2:00 AM | Śr: 10:00 AM – 2:00 AM | Czw: 10:00 AM – 2:00 AM | Pt: 10:00 AM – 2:00 AM | Sob: 8:00 AM – 2:00 AM | Ndz: 8:00 AM – 2:00 AM,2.9,8.8,https://www.google.com/maps/search/?api=1&query=33%2C+7+Soi+Sukhumvit+11%2C+Khlong+Toei%2C+Watthana%2C+Krung+Thep+Maha+Nakhon+10110%2C+Thailand&query_place_id=ChIJ3zV6PzOf4jARGBvpSUSkQlg
